"","Datum","Wochentag","Feiertag"
"4333","2022-10-23",7,0
"4334","2022-10-24",1,0
"4335","2022-10-25",2,0
"4336","2022-10-26",3,0
"4337","2022-10-27",4,0
"4338","2022-10-28",5,0
"4339","2022-10-29",6,0
"4340","2022-10-30",7,0
"4341","2022-10-31",1,0
"4342","2022-11-01",2,0
"4343","2022-11-02",3,0
"4344","2022-11-03",4,0
"4345","2022-11-04",5,0
"4346","2022-11-05",6,0
"4347","2022-11-06",7,0
"4348","2022-11-07",1,0
"4349","2022-11-08",2,0
"4350","2022-11-09",3,0
"4351","2022-11-10",4,0
"4352","2022-11-11",5,0
"4353","2022-11-12",6,0
"4354","2022-11-13",7,0
"4355","2022-11-14",1,0
"4356","2022-11-15",2,0
"4357","2022-11-16",3,0
"4358","2022-11-17",4,0
"4359","2022-11-18",5,0
"4360","2022-11-19",6,0
"4361","2022-11-20",7,0
"4362","2022-11-21",1,0
"4363","2022-11-22",2,0
"4364","2022-11-23",3,0
"4365","2022-11-24",4,0
"4366","2022-11-25",5,0
"4367","2022-11-26",6,0
"4368","2022-11-27",7,0
"4369","2022-11-28",1,0
"4370","2022-11-29",2,0
"4371","2022-11-30",3,0
"4372","2022-12-01",4,0
"4373","2022-12-02",5,0
"4374","2022-12-03",6,0
"4375","2022-12-04",7,0
"4376","2022-12-05",1,0
"4377","2022-12-06",2,0
"4378","2022-12-07",3,0
"4379","2022-12-08",4,0
"4380","2022-12-09",5,0
"4381","2022-12-10",6,0
"4382","2022-12-11",7,0
"4383","2022-12-12",1,0
"4384","2022-12-13",2,0
"4385","2022-12-14",3,0
"4386","2022-12-15",4,0
"4387","2022-12-16",5,0
"4388","2022-12-17",6,0
"4389","2022-12-18",7,0
"4390","2022-12-19",1,0
"4391","2022-12-20",2,0
"4392","2022-12-21",3,0
"4393","2022-12-22",4,0
"4394","2022-12-23",5,0
"4395","2022-12-24",6,0
"4396","2022-12-25",7,1
"4397","2022-12-26",1,1
"4398","2022-12-27",2,0
"4399","2022-12-28",3,0
"4400","2022-12-29",4,0
"4401","2022-12-30",5,0
"4402","2022-12-31",6,0
